Полное наименование,ОКПО,ИНН,ОГРН
Общество с ограниченной ответственностью РИТМ - С,00439204,1435126508,1021401070437
Общество с ограниченной ответственностью ДОЧЕРНЕЕ ОБЩЕСТВО ОАО КРАСНОДАРВОДСТРОЙ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПМК- I,01006246,2323020865,1022303383717
Общество с ограниченной ответственностью ДОЧЕРНЕЕ ОБЩЕСТВО ОТКРЫТОГО АКЦИОНЕРНОГО ОБЩЕСТВО КРАСНОДАРВОДСТРОЙ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПМК - 16,01006602,2323020858,1022303382771
Общество с ограниченной ответственностью ДЕЛИКАТ - С,01222352,1101114292,1021100516249
Общество с ограниченной ответственностью СТРОЙТРАНСГАЗ-СЕРВИС,01373950,5019014246,1025002511599
Общество с ограниченной ответственностью ЮГГАЗНАЛАДКА-С,01396589,6452075066,1026402655597
Общество с ограниченной ответственностью ГОТИКА-С,01484980,5905999998,1025901208640
Общество с ограниченной ответственностью МАГИСТРАЛЬ - С,01494694,6454056397,1026403339621
Общество с ограниченной ответственностью ВИКТОРИЯ-С,01514095,6729004251,1026701448916
ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЧЕЛЯБИНСКАЯ ТОРГОВАЯ БАЗА,01597520,7451086035,1027402913020
Общество с ограниченной ответственностью СЕКТОР-С,01598933,2221050074,1022200913360
Общество с ограниченной ответственностью ПРОМ-С,01615560,5918014398,1025901932760
Общество с ограниченной ответственностью РЕГИОН-С,01678968,5752029365,1025700788541
Общество с ограниченной ответственностью ВОСХОД - СЕРВИС,02175732,5944061740,1025902324161
Общество с ограниченной ответственностью ДИОНИС-С,02398774,0317004170,1020300794910
Общество с ограниченной ответственностью СПЕЦСТРОЙБИЗНЕС,03230054,3808079448,1023801006514
Общество с ограниченной ответственностью ЛОТОС-С,03513450,0814146707,1030800754621
Общество с ограниченной ответственностью ИМ. П.С.БАЛТАХИНОВА,03634633,8503006691,1078506000979
Общество с ограниченной ответственностью УДОМЕЛЬСКОЕ СТРОИТЕЛЬНОЕ ОБЩЕСТВО,03637577,6916011989,1026901950085
Общество с ограниченной ответственностью АГРАРНАЯ КОМПАНИЯ - СТАВРОПОЛЬ,04784168,2635062589,1032600944738
Общество с ограниченной ответственностью ВЫМПЕЛ С,05152453,2634054440,1022601930152
Общество с ограниченной ответственностью СТАВРОПОЛЬСКОЕ СЕЛО,05377117,2611007148,1022602820833
Общество с ограниченной ответственностью УПРАВЛЯЮЩАЯ КОМПАНИЯ ХОЛДИНГА ВОЛГОПРОМГАЗ,05494931,6314019525,1026300892420
Общество с ограниченной ответственностью АЛЬЯНС-С,10190970,2453000228,1022401485941
Общество с ограниченной ответственностью ВИСТ-С,10277139,2634053542,1022601943870
Общество с ограниченной ответственностью ЭКСПРЕСС-С,10392969,3016023030,1023000849167
Потребительский кооператив ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО НОВОЗЫБКОВСКИЙ КООПСТРОЙСЕРВИС,10465786,3222000952,1023201536599
Общество с ограниченной ответственностью КОМПРИ-С,10548420,3444062614,1023403439718
